itemNumber,path,url,main,show
100.596UK,1/0/100596UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100596UK_LS3.jpg,0,0
100.596UK,1/0/100596UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100596UK_IN1.jpg,0,0
100.596UK,1/0/100596UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100596UK_IN3.jpg,0,1
100.596UK,1/0/100596UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100596UK_LS2.jpg,0,0
100.596UK,1/0/100596UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100596UK_CO2.jpg,0,1
100.596UK,1/0/100596UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100596UK_LS4.jpg,0,1
100.596UK,1/0/100596UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100596UK_LS1.jpg,0,0
100.596UK,1/0/100596UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100596UK_CO3.jpg,0,0
100.596UK,1/0/100596UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100596UK_CO1.jpg,1,1
100.596UK,1/0/100596UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100596UK_CO4.jpg,0,1
100.596UK,1/0/100596UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100596UK_CO5.jpg,0,0
100.598UK,1/0/100598UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO1.jpg,1,1
100.598UK,1/0/100598UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO4.jpg,0,0
100.598UK,1/0/100598UK_CO6.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO6.jpg,0,1
100.598UK,1/0/100598UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO3.jpg,0,1
100.598UK,1/0/100598UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO2.jpg,0,1
100.598UK,1/0/100598UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO5.jpg,0,1
100.598UK,1/0/100598UK_drawing.jpg,https://www.avsl.com/assets/images/1/0/100598UK_drawing.jpg,0,1
100.615UK,1/0/100615UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO3.jpg,0,0
100.615UK,1/0/100615UK_CO6.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO6.jpg,0,0
100.615UK,1/0/100615UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO5.jpg,0,0
100.615UK,1/0/100615UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100615UK_IN1.jpg,0,1
100.615UK,1/0/100615UK_CO7.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO7.jpg,0,0
100.615UK,1/0/100615UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO4.jpg,0,0
100.615UK,1/0/100615UK_CO8.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO8.jpg,0,1
100.615UK,1/0/100615UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO1.jpg,1,1
100.615UK,1/0/100615UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100615UK_IN2.jpg,0,0
100.615UK,1/0/100615UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100615UK_IN3.jpg,0,0
100.615UK,1/0/100615UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100615UK_LS1.jpg,0,1
100.615UK,1/0/100615UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100615UK_LS2.jpg,0,0
100.615UK,1/0/100615UK_CO9.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO9.jpg,0,1
100.615UK,1/0/100615UK_DI.jpg,https://www.avsl.com/assets/images/1/0/100615UK_DI.jpg,0,1
100.616UK,1/0/100616UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100616UK_CO1.jpg,1,1
100.616UK,1/0/100616UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100616UK_CO2.jpg,0,1
100.616UK,1/0/100616UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100616UK_IN1.jpg,0,1
100.616UK,1/0/100616UK_LD1.jpg,https://www.avsl.com/assets/images/1/0/100616UK_LD1.jpg,0,1
100.619UK,1/0/100619UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100619UK_CO1.jpg,1,1
100.619UK,1/0/100619UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100619UK_CO2.jpg,0,0
100.619UK,1/0/100619UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100619UK_CO3.jpg,0,1
100.619UK,1/0/100619UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100619UK_IN1.jpg,0,1
100.619UK,1/0/100619UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100619UK_IN2.jpg,0,1
100.619UK,1/0/100619UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100619UK_IN3.jpg,0,1
100.619UK,1/0/100619UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100619UK_LS1.jpg,0,1
100.619UK,1/0/100619UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100619UK_LS2.jpg,0,0
100.619UK,1/0/100619UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100619UK_LS3.jpg,0,0
100.619UK,1/0/100619UK_LS4.JPG,https://www.avsl.com/assets/images/1/0/100619UK_LS4.JPG,0,0
100.619UK,1/0/100619UK_LS5.JPG,https://www.avsl.com/assets/images/1/0/100619UK_LS5.JPG,0,0
100.625UK,1/0/100625UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100625UK_CO2.jpg,0,1
100.625UK,1/0/100625UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100625UK_CO3.jpg,0,1
100.625UK,1/0/100625UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100625UK_CO4.jpg,0,1
100.625UK,1/0/100625UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100625UK_IN1.jpg,0,1
100.625UK,1/0/100625UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100625UK_CO1.jpg,1,1
100.642UK,1/0/100642UK_LS7.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS7.jpg,0,0
100.642UK,1/0/100642UK_LS6.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS6.jpg,0,1
100.642UK,1/0/100642UK_LS5.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS5.jpg,0,0
100.642UK,1/0/100642UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS3.jpg,0,0
100.642UK,1/0/100642UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS4.jpg,0,0
100.642UK,1/0/100642UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS2.jpg,0,0
100.642UK,1/0/100642UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO1.jpg,1,1
100.642UK,1/0/100642UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO2.jpg,0,0
100.642UK,1/0/100642UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO3.jpg,0,1
100.642UK,1/0/100642UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO4.jpg,0,0
100.642UK,1/0/100642UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO5.jpg,0,0
100.642UK,1/0/100642UK_CO6.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO6.jpg,0,1
100.642UK,1/0/100642UK_CO7.jpg,https://www.avsl.com/assets/images/1/0/100642UK_CO7.jpg,0,1
100.642UK,1/0/100642UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS1.jpg,0,1
100.805UK,1/0/100805UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100805UK_IN1.jpg,0,1
100.805UK,1/0/100805UK_CO5.jpg,https://www.avsl.com/assets/images/1/0/100805UK_CO5.jpg,0,1
100.805UK,1/0/100805UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100805UK_CO2.jpg,0,1
100.805UK,1/0/100805UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100805UK_CO1.jpg,1,1
100.805UK,1/0/100805UK_CO4.jpg,https://www.avsl.com/assets/images/1/0/100805UK_CO4.jpg,0,0
100.805UK,1/0/100805UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100805UK_LS4.jpg,0,0
